,Date,DBS,SGD,pred,err,err sq,,,
1,6/20/2017,20.45,1.38925,19.93115472,0.518845285,0.269200429,,intercept,90.2285148
2,6/19/2017,20.6,1.38707,20.04146477,0.558535229,0.311961602,,SGD,-50.60094302
3,6/16/2017,20.45,1.38324,20.23526638,0.214733617,0.046110526,,,
4,6/15/2017,20.41,1.38378,20.20794187,0.202058126,0.040827486,,SSE,48.17154377
5,6/14/2017,20.59,1.37595,20.60414726,-0.014147257,0.000200145,,MSE,0.394848719
6,6/13/2017,20.78,1.38172,20.31217982,0.467820184,0.218855724,,RMSE,0.628369891
7,6/12/2017,20.59,1.38424,20.18466544,0.40533456,0.164296106,,,
8,6/9/2017,20.72,1.38401,20.19630366,0.523696343,0.27425786,,,
9,6/8/2017,20.47,1.3827,20.26259089,0.207409108,0.043018538,,,
10,6/7/2017,20.43,1.38187,20.30458967,0.125410325,0.01572775,,,
11,6/6/2017,20.49,1.37925,20.43716415,0.052835854,0.002791628,,,
12,6/5/2017,20.49,1.38157,20.31976996,0.170230042,0.028978267,,,
13,6/2/2017,20.48,1.38104,20.34658846,0.133411542,0.01779864,,,
14,6/1/2017,20.65,1.38653,20.06878928,0.58121072,0.337805901,,,
15,5/31/2017,20.47,1.3832,20.23729042,0.232709579,0.054153748,,,
16,5/30/2017,20.6,1.3853,20.13102844,0.46897156,0.219934324,,,
17,5/29/2017,20.84,1.38665,20.06271717,0.777282833,0.604168602,,,
18,5/26/2017,20.8,1.38071,20.36328677,0.436713231,0.190718446,,,
19,5/25/2017,21.04,1.38634,20.07840346,0.96159654,0.924667907,,,
20,5/24/2017,21,1.38451,20.17100319,0.828996815,0.687235719,,,
21,5/23/2017,21,1.38995,19.89573406,1.104265945,1.219403277,,,
22,5/22/2017,20.86,1.38642,20.07435538,0.785644616,0.617237462,,,
23,5/19/2017,20.7,1.38523,20.13457051,0.565429494,0.319710512,,,
24,5/18/2017,20.63,1.39297,19.74291921,0.887080793,0.786912333,,,
25,5/17/2017,20.8,1.38981,19.90281819,0.897181813,0.804935205,,,
26,5/16/2017,20.65,1.39474,19.65335554,0.996644462,0.993300183,,,
27,5/15/2017,20.77,1.39749,19.51420294,1.255797055,1.577026244,,,
28,5/12/2017,20.68,1.40394,19.18782686,1.492173138,2.226580673,,,
29,5/11/2017,20.93,1.40746,19.00971154,1.920288457,3.687507758,,,
30,5/9/2017,20.5,1.41128,18.81641594,1.683584059,2.834455285,,,
31,5/8/2017,20.3,1.40604,19.08156488,1.218435118,1.484584137,,,
32,5/5/2017,20.42,1.40496,19.1362139,1.283786099,1.648106749,,,
33,5/4/2017,20.45,1.40069,19.35227993,1.097720073,1.204989358,,,
34,5/3/2017,20.53,1.39724,19.52685318,1.003146819,1.006303541,,,
35,5/2/2017,19.57,1.39379,19.70142643,-0.131426434,0.017272908,,,
36,4/28/2017,19.07,1.39739,19.51926304,-0.449263039,0.201837278,,,
37,4/27/2017,18.93,1.3971,19.53393731,-0.603937313,0.364740278,,,
38,4/26/2017,19.03,1.39598,19.59061037,-0.560610369,0.314283986,,,
39,4/25/2017,18.92,1.39412,19.68472812,-0.764728123,0.584809102,,,
40,4/24/2017,18.73,1.39261,19.76113555,-1.031135547,1.063240516,,,
41,4/21/2017,18.5,1.39655,19.56176783,-1.061767831,1.127350928,,,
42,4/20/2017,18.64,1.39772,19.50256473,-0.862564728,0.74401791,,,
43,4/19/2017,18.52,1.39821,19.47777027,-0.957770266,0.917323882,,,
44,4/18/2017,18.65,1.39584,19.5976945,-0.947694501,0.898124867,,,
45,4/17/2017,18.63,1.39794,19.49143252,-0.861432521,0.742065987,,,
46,4/13/2017,18.82,1.39799,19.48890247,-0.668902473,0.447430519,,,
47,4/12/2017,18.97,1.39653,19.56277985,-0.59277985,0.351387951,,,
48,4/11/2017,18.88,1.40404,19.18276677,-0.302766768,0.091667716,,,
49,4/10/2017,18.85,1.4048,19.14431005,-0.294310051,0.086618406,,,
50,4/7/2017,18.78,1.40474,19.14734611,-0.367346108,0.134943163,,,
51,4/6/2017,18.85,1.40211,19.28042659,-0.430426588,0.185267048,,,
52,4/5/2017,18.93,1.40067,19.35329195,-0.423291946,0.179176072,,,
53,4/4/2017,18.95,1.39817,19.4797943,-0.529794304,0.280682004,,,
54,4/3/2017,19.12,1.3971,19.53393731,-0.413937313,0.171344099,,,
55,3/31/2017,19.12,1.39639,19.56986398,-0.449863982,0.202377602,,,
56,3/30/2017,19.02,1.39769,19.50408276,-0.484082756,0.234336115,,,
57,3/29/2017,19.01,1.39407,19.68725817,-0.67725817,0.458678629,,,
58,3/28/2017,18.75,1.39677,19.55063562,-0.800635624,0.641017402,,,
59,3/27/2017,18.43,1.39397,19.69231826,-1.262318264,1.5934474,,,
60,3/24/2017,18.52,1.39885,19.44538566,-0.925385662,0.856338624,,,
61,3/23/2017,18.38,1.3997,19.40237486,-1.022374861,1.045250356,,,
62,3/22/2017,18.4,1.39854,19.46107195,-1.061071955,1.125873693,,,
63,3/21/2017,18.73,1.39934,19.4205912,-0.6905912,0.476916206,,,
64,3/20/2017,18.74,1.39688,19.54506952,-0.80506952,0.648136932,,,
65,3/17/2017,18.86,1.40201,19.28548668,-0.425486682,0.181038917,,,
66,3/16/2017,18.84,1.40121,19.32596744,-0.485967437,0.23616435,,,
67,3/15/2017,18.85,1.40224,19.27384847,-0.423848466,0.179647522,,,
68,3/14/2017,18.91,1.41592,18.58162757,0.328372435,0.107828456,,,
69,3/13/2017,18.83,1.41477,18.63981865,0.19018135,0.036168946,,,
70,3/10/2017,18.66,1.41173,18.79364552,-0.133645516,0.017861124,,,
71,3/9/2017,18.67,1.42132,18.30838247,0.361617527,0.130767236,,,
72,3/8/2017,19,1.41763,18.49509995,0.504900048,0.254924058,,,
73,3/7/2017,18.82,1.41135,18.81287387,0.007126125,5.07817E-05,,,
74,3/6/2017,18.79,1.41235,18.76227293,0.027727068,0.00076879,,,
75,3/3/2017,18.74,1.41037,18.8624628,-0.122462799,0.014997137,,,
76,3/2/2017,18.76,1.41213,18.77340514,-0.013405139,0.000179698,,,
77,3/1/2017,18.55,1.40907,18.92824402,-0.378244025,0.143068542,,,
78,2/28/2017,18.46,1.405,19.13418986,-0.674189863,0.454531971,,,
79,2/27/2017,18.54,1.40429,19.17011653,-0.630116532,0.397046844,,,
80,2/24/2017,18.6,1.40447,19.16100836,-0.561008363,0.314730383,,,
81,2/23/2017,18.62,1.40763,19.00110938,-0.381109383,0.145244362,,,
82,2/22/2017,18.48,1.41323,18.7177441,-0.237744102,0.056522258,,,
83,2/21/2017,18.19,1.42045,18.35240529,-0.162405293,0.026375479,,,
84,2/20/2017,18.23,1.41793,18.47991967,-0.24991967,0.062459841,,,
85,2/17/2017,18.33,1.41901,18.42527065,-0.095270651,0.009076497,,,
86,2/16/2017,18.27,1.41659,18.54772493,-0.277724933,0.077131139,,,
87,2/15/2017,17.97,1.41906,18.4227406,-0.452740604,0.204974054,,,
88,2/14/2017,18,1.41995,18.37770576,-0.377705765,0.142661645,,,
89,2/13/2017,18.64,1.42416,18.16467579,0.475324205,0.2259331,,,
90,2/10/2017,18.7,1.42058,18.34582717,0.354172829,0.125438393,,,
91,2/9/2017,18.55,1.42066,18.3417791,0.208220905,0.043355945,,,
92,2/8/2017,18.53,1.41667,18.54367686,-0.013676858,0.000187056,,,
93,2/7/2017,18.59,1.41857,18.44753507,0.142464934,0.020296257,,,
94,2/6/2017,18.66,1.40917,18.92318393,-0.26318393,0.069265781,,,
95,2/3/2017,18.39,1.40746,19.00971154,-0.619711543,0.384042397,,,
96,2/2/2017,18.51,1.41138,18.81135585,-0.301355846,0.090815346,,,
97,2/1/2017,18.61,1.41244,18.75771885,-0.147718847,0.021820858,,,
98,1/31/2017,18.7,1.40954,18.90446158,-0.204461582,0.041804538,,,
99,1/27/2017,18.89,1.43178,17.77909661,1.110903391,1.234106345,,,
100,1/26/2017,18.76,1.42589,18.07713616,0.682863837,0.46630302,,,
101,1/25/2017,18.58,1.41285,18.73697246,-0.15697246,0.024640353,,,
102,1/24/2017,18.39,1.42117,18.31597261,0.074027386,0.005480054,,,
103,1/23/2017,18.08,1.41598,18.57859151,-0.498591508,0.248593492,,,
104,1/20/2017,18.01,1.42705,18.01843907,-0.008439069,7.12179E-05,,,
105,1/19/2017,18.02,1.42616,18.06347391,-0.043473909,0.001889981,,,
106,1/18/2017,17.94,1.42876,17.93191146,0.008088543,6.54245E-05,,,
107,1/17/2017,18.09,1.41601,18.57707348,-0.48707348,0.237240575,,,
108,1/16/2017,18.06,1.4303,17.853986,0.206013996,0.042441766,,,
109,1/13/2017,18.05,1.42592,18.07561813,-0.025618135,0.000656289,,,
110,1/12/2017,17.86,1.42728,18.00680085,-0.146800852,0.02155049,,,
111,1/11/2017,17.78,1.42678,18.03210132,-0.252101324,0.063555077,,,
112,1/10/2017,17.73,1.43654,17.53823612,0.19176388,0.036773386,,,
113,1/9/2017,17.59,1.43529,17.6014873,-0.011487299,0.000131958,,,
114,1/6/2017,17.42,1.43938,17.39452944,0.025470558,0.000648749,,,
115,1/5/2017,17.54,1.42847,17.94658573,-0.40658573,0.165311956,,,
116,1/4/2017,17.27,1.43942,17.3925054,-0.122505404,0.015007574,,,
117,1/3/2017,17.07,1.44992,16.8611955,0.208804498,0.043599318,,,
118,12/30/2016,17.09,1.44655,17.03172068,0.05827932,0.003396479,,,
119,12/29/2016,17.13,1.44814,16.95126518,0.178734819,0.031946136,,,
120,12/28/2016,17.22,1.45018,16.84803926,0.371960743,0.138354794,,,
121,12/27/2016,17.19,1.44954,16.88042386,0.309576139,0.095837386,,,
122,12/23/2016,17.14,1.44766,16.97555363,0.164446366,0.027042607,,,
